method,n_real,n_syn,seed,class,f1
random_open_loop,2,20,18,healthy,0.7679324894514767
random_open_loop,2,20,18,worn,0.6783625730994152
LLM_synthetic,2,20,18,healthy,0.7725321888412017
LLM_synthetic,2,20,18,worn,0.6971428571428572
real_only,2,40,18,healthy,0.759825327510917
real_only,2,40,18,worn,0.6927374301675978
noise_aug,2,40,18,healthy,0.7363636363636363
noise_aug,2,40,18,worn,0.6914893617021277
rule,2,40,18,healthy,0.7717842323651453
rule,2,40,18,worn,0.6706586826347305
random_open_loop,2,40,18,healthy,0.7666666666666667
random_open_loop,2,40,18,worn,0.6666666666666666
LLM_synthetic,2,40,18,healthy,0.7698744769874477
LLM_synthetic,2,40,18,worn,0.6745562130177515
real_only,2,10,19,healthy,0.7966101694915254
real_only,2,10,19,worn,0.7209302325581395
noise_aug,2,10,19,healthy,0.775
noise_aug,2,10,19,worn,0.6785714285714286
rule,2,10,19,healthy,0.7782426778242678
rule,2,10,19,worn,0.6863905325443787
random_open_loop,2,10,19,healthy,0.7782426778242678
random_open_loop,2,10,19,worn,0.6863905325443787
LLM_synthetic,2,10,19,healthy,0.7679324894514767
