baseline,n_real,seed,actual,predicted,n
metadata_leaky_diagnostic,5,4,worn,worn,6
real_only,5,4,healthy,healthy,8
real_only,5,4,healthy,worn,0
real_only,5,4,worn,healthy,5
real_only,5,4,worn,worn,4
noise_aug,5,4,healthy,healthy,8
noise_aug,5,4,healthy,worn,0
noise_aug,5,4,worn,healthy,5
noise_aug,5,4,worn,worn,4
random_open_loop,5,4,healthy,healthy,8
random_open_loop,5,4,healthy,worn,0
random_open_loop,5,4,worn,healthy,5
random_open_loop,5,4,worn,worn,4
rule,5,4,healthy,healthy,8
rule,5,4,healthy,worn,0
rule,5,4,worn,healthy,5
rule,5,4,worn,worn,4
majority,5,5,healthy,healthy,8
majority,5,5,healthy,worn,0
majority,5,5,worn,healthy,9
majority,5,5,worn,worn,0
metadata_safe,5,5,healthy,healthy,0
metadata_safe,5,5,healthy,worn,8
metadata_safe,5,5,worn,healthy,0
metadata_safe,5,5,worn,worn,9
metadata_leaky_diagnostic,5,5,healthy,healthy,8
metadata_leaky_diagnostic,5,5,healthy,worn,0
metadata_leaky_diagnostic,5,5,worn,healthy,0
metadata_leaky_diagnostic,5,5,worn,worn,9
real_only,5,5,healthy,healthy,8
real_only,5,5,healthy,worn,0
real_only,5,5,worn,healthy,5
real_only,5,5,worn,worn,4
noise_aug,5,5,healthy,healthy,8
noise_aug,5,5,healthy,worn,0
noise_aug,5,5,worn,healthy,6
noise_aug,5,5,worn,worn,3
