method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,severe,ch0_band3_frac,0.0025995452,0.0031649528,0.00056540758,0.776271,0.217502,0.603743
rule,severe,ch0_band4_frac,0.0031918333,0.0041263658,0.00093453245,0.848402,0.292789,0.434225
rule,severe,ch0_band5_frac,0.0027958557,0.0034738366,0.00067798097,0.629571,0.242495,0.474332
rule,severe,ch0_crest,1.8477867,1.8496289,0.0018422438,0.012641,0.000997,0.467112
rule,severe,ch0_kurtosis,1.5824057,1.58028,-0.0021256712,-0.052882,-0.001343,0.743850
rule,severe,ch0_rms,1.9865755,1.9994509,0.012875474,0.016315,0.006481,0.106952
rule,severe,ch0_skewness,-0.0095735139,-0.0040974735,0.0054760404,0.255940,0.571999,0.614171
rule,severe,ch0_tooth_rms_cv,0.38562701,0.383215,-0.0024120017,-0.132529,-0.006255,0.528610
rule,severe,ch0_tpf_amp_ratio,0.0025885676,0.002823261,0.00023469344,0.225751,0.090665,0.584759
rule,severe,ch1_band0_frac,0.44006322,0.67670792,0.2366447,0.388859,0.537752,0.270053
rule,severe,ch1_band1_frac,0.017547799,0.039698655,0.022150856,0.177098,1.262315,0.482888
rule,severe,ch1_band2_frac,0.1531992,0.27523011,0.12203091,0.492323,0.796551,0.272727
rule,severe,ch1_band3_frac,0.00017953859,0.0013571982,0.0011776596,3.873861,6.559368,0.721390
rule,severe,ch1_band4_frac,7.6755411e-05,0.00051693649,0.00044018108,3.381262,5.734854,0.316845
rule,severe,ch1_band5_frac,4.7754056e-05,0.00030560004,0.00025784598,3.536396,5.399457,0.375668
rule,severe,ch1_crest,1.0278484,1.0266545,-0.0011939178,-0.026330,-0.001162,0.336898
rule,severe,ch1_kurtosis,2.4190613,2.3254978,-0.093563531,-0.151935,-0.038678,0.989305
rule,severe,ch1_rms,7.8392894,7.7983752,-0.040914211,-0.015047,-0.005219,0.074866
rule,severe,ch1_skewness,0,-0.056798955,-0.056798955,-0.345108,-56798954888.439148,0.857487
