method,class,channel,band,real_frac,method_frac,delta
noise_aug,worn,AE_spindle,40-70,0.117671,0.100370,-0.017301
noise_aug,worn,AE_spindle,70-100,0.260681,0.143378,-0.117303
noise_aug,worn,AE_spindle,100-125,0.034514,0.031325,-0.003189
noise_aug,severe,smcAC,0-8,0.003696,0.003324,-0.000373
noise_aug,severe,smcAC,8-20,0.986361,0.986894,0.000533
noise_aug,severe,smcAC,20-40,0.002536,0.002121,-0.000416
noise_aug,severe,smcAC,40-70,0.002280,0.002259,-0.000021
noise_aug,severe,smcAC,70-100,0.002821,0.003109,0.000288
noise_aug,severe,smcAC,100-125,0.002305,0.002295,-0.000011
noise_aug,severe,smcDC,0-8,0.909220,0.785812,-0.123409
noise_aug,severe,smcDC,8-20,0.026629,0.026697,0.000068
noise_aug,severe,smcDC,20-40,0.063954,0.058205,-0.005749
noise_aug,severe,smcDC,40-70,0.000137,0.046372,0.046235
noise_aug,severe,smcDC,70-100,0.000038,0.046832,0.046794
noise_aug,severe,smcDC,100-125,0.000022,0.036082,0.036061
noise_aug,severe,vib_table,0-8,0.047298,0.016300,-0.030998
noise_aug,severe,vib_table,8-20,0.309386,0.376612,0.067226
noise_aug,severe,vib_table,20-40,0.216909,0.181763,-0.035146
noise_aug,severe,vib_table,40-70,0.125918,0.098463,-0.027455
noise_aug,severe,vib_table,70-100,0.287301,0.312182,0.024881
noise_aug,severe,vib_table,100-125,0.013189,0.014680,0.001492
noise_aug,severe,vib_spindle,0-8,0.210732,0.269430,0.058698
noise_aug,severe,vib_spindle,8-20,0.200274,0.180006,-0.020268
noise_aug,severe,vib_spindle,20-40,0.204689,0.182579,-0.022110
noise_aug,severe,vib_spindle,40-70,0.178395,0.153859,-0.024536
