split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N15_M07_F10,loco_N15_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.330795,0.27044,0.060355000000000006,0.031499999999999986,28,0,12,551.0,0.029201440374890808,0.08760432112467242,0.07377205989446099,False
loco_N15_M07_F10,loco_N15_M07_F10_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.5553125000000001,0.48087,0.07444250000000001,0.05780000000000002,28,0,12,650.0,0.0004456084598132293,0.0008912169196264585,0.0017111364856828004,True
loco_N15_M07_F10,loco_N15_M07_F10_n10_acc_superiority,acc,10,llm>random_open_loop,random_open_loop,greater,40,0.5553125000000001,0.49259249999999993,0.06272,0.06430000000000002,32,0,8,658.0,0.00028494141952251084,0.0008548242585675325,0.001367718813708052,True
loco_N15_M07_F10,loco_N15_M07_F10_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.5553125000000001,0.62414,-0.0688275,-0.06,13,0,27,190.0,0.9984475258905572,0.9984475258905572,0.9999999999990905,False
loco_N15_M07_F10,loco_N15_M07_F10_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.5553125000000001,0.38216250000000007,0.17315,0.16524999999999998,38,0,2,817.0,4.547473508864641e-12,1.8189894035458565e-11,4.3655745685100555e-10,True
loco_N15_M07_F10,loco_N15_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.4972225,0.40054750000000006,0.096675,0.07774999999999999,26,0,14,635.0,0.0009797538523343974,0.0019595077046687948,0.003243323097382833,True
loco_N15_M07_F10,loco_N15_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>random_open_loop,random_open_loop,greater,40,0.4972225,0.4256475,0.07157499999999999,0.08004999999999998,32,0,8,651.0,0.0004218312360535492,0.0012654937081606477,0.0017034934228211107,True
loco_N15_M07_F10,loco_N15_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.4972225,0.5836175,-0.08639500000000003,-0.06340000000000001,13,0,27,193.0,0.9986146852306774,0.9986146852306774,0.9999999999990905,False
loco_N15_M07_F10,loco_N15_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.4972225,0.27232,0.2249025,0.19379999999999997,35,0,5,793.0,1.1468728189356625e-09,4.58749127574265e-09,3.66999302059412e-08,True
loco_N15_M07_F10,loco_N15_M07_F10_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.6790925,0.6727450000000001,0.006347500000000003,0.011999999999999955,21,0,19,464.0,0.23810390148810257,0.23810390148810257,0.48633988389059246,False
loco_N15_M07_F10,loco_N15_M07_F10_n25_acc_superiority,acc,25,llm>random_open_loop,random_open_loop,greater,40,0.6790925,0.6218175,0.057275,0.04525000000000001,33,0,7,696.0,2.539158595027402e-05,7.617475785082206e-05,0.00020313268760219216,True
loco_N15_M07_F10,loco_N15_M07_F10_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.6790925,0.6638474999999999,0.015245000000000003,0.00814999999999999,22,0,18,502.5,0.10687238260418919,0.21374476520837837,0.2385988076744689,False
loco_N15_M07_F10,loco_N15_M07_F10_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.6790925,0.6094375,0.069655,0.06140000000000001,32,0,8,739.0,4.884216628597975e-06,1.95368665143919e-05,7.81474660575676e-05,True
loco_N15_M07_F10,loco_N15_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.6396725,0.6494775,-0.00980500000000001,0.01050000000000001,22,0,18,402.0,0.5449770195609744,0.589975534387122,0.9688480347750656,False
loco_N15_M07_F10,loco_N15_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>random_open_loop,random_open_loop,greater,40,0.6396725,0.5734375,0.06623499999999997,0.07115000000000002,33,0,7,677.0,9.074450372281717e-05,0.0002722335111684515,0.0005124395504347322,True
loco_N15_M07_F10,loco_N15_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.6396725,0.6289875,0.010685000000000002,-0.003950000000000009,19,0,21,451.0,0.294987767193561,0.589975534387122,0.589975534387122,False
loco_N15_M07_F10,loco_N15_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.6396725,0.5570225,0.08265,0.07415000000000002,33,0,7,739.0,7.717690095887519e-07,3.0870760383550078e-06,1.4817964984104038e-05,True
