class,slot,candidate_rounds,n_candidates,n_expansions,n_feasible_expansions,first_pass_round,final_admitted,record_sha256
OR,30,0,1,4,4,0,True,903069eab4cf926c06c31bf63d34783293f9cd9a9ce4ccca5ab945d30f6e80a0
OR,31,0,1,4,2,0,True,c4a93f4bf418e1c5900284a23725f1ae2eb9df4b0d9c76230f80ef34e57f74ee
OR,32,0,1,4,3,0,True,e7c94cd394b0a8615f4dd77169cd26ff73da254b86babd723f51c4e6579b4549
OR,33,0,1,4,3,0,True,2749d9fec6d04d74795671f1b5f14df88d7be512116866d28fc73fee16c4032c
OR,34,0,1,4,2,0,True,f0e70a205c6583aa20eca679710375ababeeb46fc74d382b82d0a3cf8b34f600
OR,35,0;1;2;3,4,0,0,,False,8949079b1ff5e148a4c44ad979a7b84ed33a676589da0c1bea4dd621f9e2c40b
OR,36,0,1,4,3,0,True,47b67455cc307fb699f9f83da0ad5ec794417fdb5597655c467f8cb53f2a78dd
OR,37,0,1,4,2,0,True,b9c0b918bddedc6362cf37f99fb58c22ed1083c6cee867ff6e7fedcc1dd04030
OR,38,0;1;2;3,4,4,2,3,True,aa273f6d4917ced8bb8ec358488eb190dfd01bab1c49363fbeaddb2f2a0b94eb
OR,39,0,1,4,4,0,True,19a42a5e96454111c7b7917e6d0f4694bb55216fb43a1394cf872b5480801383
OR,40,0,1,0,0,,False,5d21186b093e6ff55223ea05fac2f6bd04f64b5265d8e1d1fd2b4928fdb006bc
OR,41,0,1,0,0,,False,956df0d9fa363036a3d5d8fb1bb13ab82a0b23cbd121ec4e6eb41e949c72ccc2
OR,42,0,1,0,0,,False,df1bd139ac0cb4a892b03150263517d34f3268344864b09f82f5585ec7cf65b4
OR,43,0,1,4,3,0,True,9cd28925c8396dee6c8cdfe95620953f6ec0192eec4b81ffcac0c7712199104b
OR,44,0,1,4,4,0,True,a203ca5e0651f89e0f7fdfa1ac8d25561dee9e3828bf74f7d50671726fef5dc9
OR,45,0,1,4,4,0,True,1ac066afe5f7f93f9436e1a93072304059fc2c0ae0740085b0251d84a22fb82a
OR,46,0;1;2;3,4,4,3,3,True,cf748a9436f1f5190b61cdb40cb9b2b1213df82adf446b35a80418ac91e8a35d
OR,47,0;1,2,0,0,,False,e4a9050cdb40181e61873b862291468a4624de9f9dcc464c409b797cbf8b304a
OR,48,0;1,2,0,0,,False,2b366a8042ad35759515f19378176d0bd3bcbfc35ceb7cc497d3330b085cfc09
OR,49,0,1,0,0,,False,b2bcc459ee0cb6038da28472330bc167c8549eed2180ef94f90d8beaf3b4af67
OR,50,0,1,0,0,,False,23853357925be5eeae310df1cec87d3bc1af2d86e726a328e4715c39132ec187
OR,51,0;1,2,4,4,1,True,9a363196f46003ead88e871b740e5cec7502582c0ae38b2146ab2bb462736dc0
OR,52,0,1,0,0,,False,e26b537e5a03d6f89bd626cd17501ee61e559688c954df12e45dea7fa4976e7c
OR,53,0,1,4,3,0,True,e0e1f830a7d532f31612cfd2ae5bd9dc009942b13ff49dc8c863fd2ebf2401d8
OR,54,0,1,0,0,,False,da7097b38e3c02be1b224240e3d8e1d08464749fbf522653d0984071584cccc8
OR,55,0,1,4,3,0,True,40daaa3c0781cf2ecd260a10fd7cf737b7d9eaba03d8384763435eb2f3117582
OR,56,0,1,4,0,0,True,e6e143e3043bc2e681d9fa13f04075c6de17d8b881827f974711c58366ae3eee
OR,57,0,1,4,1,0,True,d817f29709c1dad754e3a2dc6cc0ecd4edebbe5f31d0b6bc617ac0657830f214
OR,58,0,1,4,4,0,True,3c71210c7cb713e043ca3f35e74fd207733079646635adb5788fc347c6eb3f86
OR,59,0,1,0,0,,False,f6212e72e427819435f0bb61a52c2c6613c63610a472146119d302a43952cbf5
