n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
20,False,10,macro_f1,LLM_synthetic>noise_aug,0.11250532352746179,0.005206370522005505,0.002978298339582852,0.5,0.29316059535532896,0.33751597058238536
20,False,10,macro_f1,LLM_synthetic>rule,0.6385779751295078,-0.0011093085428745097,3.3008244941235e-05,0.5,-0.06308428193230341,0.7228440497409845
20,False,10,macro_f1,LLM_synthetic>random_open_loop,0.36142202487049224,0.0007392788571107811,0.00037492433550812,0.55,0.03674665093999402,0.7228440497409845
20,False,10,macro_f1,LLM_synthetic>real_only,0.07145309448242188,0.006275603893202891,0.00512234340767459,0.65,0.371675887037549,
40,False,2,acc,LLM_synthetic>noise_aug,0.01030567612503725,0.056862745098039194,0.019607843137254943,0.7,0.5734428957067771,0.030917028375111746
40,False,2,acc,LLM_synthetic>rule,0.9987719528986418,-0.016666666666666663,-0.01715686274509809,0.15,-0.8545093154190248,1.0
40,False,2,acc,LLM_synthetic>random_open_loop,0.9892465372143134,-0.0161764705882353,-0.012254901960784381,0.2,-0.5851946942376549,1.0
40,False,2,acc,LLM_synthetic>real_only,0.005557475689387446,0.04852941176470588,0.02696078431372556,0.7,0.5656632507241383,
40,False,2,macro_f1,LLM_synthetic>noise_aug,0.022027015686035156,0.06672357361831945,0.016310766293370582,0.7,0.4917501625925937,0.06608104705810547
40,False,2,macro_f1,LLM_synthetic>rule,0.9989078193490285,-0.0188580581627666,-0.018773528822947527,0.15,-0.8414103222170933,1.0
40,False,2,macro_f1,LLM_synthetic>random_open_loop,0.9886392950920987,-0.020088636313613035,-0.012945194476519484,0.25,-0.5831630875997366,1.0
40,False,2,macro_f1,LLM_synthetic>real_only,0.007656097412109375,0.056753242312762374,0.024036127171440547,0.7,0.49927005134221003,
