n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
40,True,5,acc,LLM_synthetic>random_open_loop,0.9994952282540763,-0.019117647058823534,-0.019607843137254832,0.15,-0.9447197295614194,1.0
40,True,5,acc,LLM_synthetic>real_only,0.0834625466394579,0.012990196078431365,0.014705882352941124,0.55,0.3666456000182779,
40,True,5,macro_f1,LLM_synthetic>noise_aug,0.08247852325439453,0.013618427668115062,0.004454106648983991,0.65,0.38502443567479444,0.2474355697631836
40,True,5,macro_f1,LLM_synthetic>rule,0.9952652299152059,-0.012475269822809987,-0.014407588531467452,0.3,-0.737220652930153,1.0
40,True,5,macro_f1,LLM_synthetic>random_open_loop,0.9995233209794933,-0.01998866276370636,-0.019170606801920897,0.15,-0.9401963413191594,1.0
40,True,5,macro_f1,LLM_synthetic>real_only,0.08649761294868391,0.014206329779512777,0.014679047499008058,0.6,0.36253578216667515,
40,True,10,acc,LLM_synthetic>noise_aug,0.7554876163574905,0.005637254901960797,-0.002450980392156854,0.35,0.1127510872205738,1.0
40,True,10,acc,LLM_synthetic>rule,0.8573218342570628,0.01691176470588236,-0.004901960784313708,0.3,0.23668416894554448,1.0
40,True,10,acc,LLM_synthetic>random_open_loop,0.9989272317930317,0.003676470588235309,-0.012254901960784326,0.05,0.049308475055213186,1.0
40,True,10,acc,LLM_synthetic>real_only,0.9828093349255614,-0.00784313725490196,-0.004901960784313708,0.25,-0.6051983643273003,
40,True,10,macro_f1,LLM_synthetic>noise_aug,0.805811882019043,0.011597937249349474,-0.003401143543785734,0.35,0.1467418446124675,1.0
40,True,10,macro_f1,LLM_synthetic>rule,0.8441028594970703,0.030753327372781653,-0.005816741890736998,0.3,0.26783834990937916,1.0
40,True,10,macro_f1,LLM_synthetic>random_open_loop,0.9992837905883789,0.010777264970748037,-0.013736689738444385,0.15,0.09970051046034185,1.0
40,True,10,macro_f1,LLM_synthetic>real_only,0.9800127657868708,-0.008111145915897205,-0.005544983511205692,0.3,-0.5922512734212907,
