class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
healthy,random_open_loop,132.8125,6.39218355316305e-05,0.0002254002353529929,0.0004510840754407482,150,500-2000
healthy,random_open_loop,136.71875,7.88445679499009e-05,0.00020789589778377697,0.0004402744262249028,150,500-2000
healthy,random_open_loop,140.625,6.977170968541682e-05,0.00019134459622331906,0.0004783660888332442,150,500-2000
healthy,random_open_loop,144.53125,7.396648575070549e-05,0.00019997659469992365,0.0004456603331973151,150,500-2000
healthy,random_open_loop,148.4375,6.542733320935618e-05,0.00017932227943981744,0.00044311060442623175,150,500-2000
healthy,random_open_loop,152.34375,7.851943960197407e-05,0.00020901169760159785,0.00041013328307304246,150,500-2000
healthy,random_open_loop,156.25,8.532952710173176e-05,0.00019602184073589973,0.00046151175243281143,150,500-2000
healthy,random_open_loop,160.15625,7.24797727472673e-05,0.00019298081051273474,0.000561178118908873,150,500-2000
healthy,random_open_loop,164.0625,7.962917140406018e-05,0.0001777772759428369,0.0005057787342534741,150,500-2000
healthy,random_open_loop,167.96875,7.741135337047648e-05,0.00018656440076922516,0.0004557292950051688,150,500-2000
healthy,random_open_loop,171.875,6.54399986051553e-05,0.00016981134497535703,0.00043420124457224196,150,500-2000
healthy,random_open_loop,175.78125,6.998000167260969e-05,0.00017736326350618057,0.0004451780833429726,150,500-2000
healthy,random_open_loop,179.6875,6.405181666463989e-05,0.0001651775697838602,0.0004203042095303871,150,500-2000
healthy,random_open_loop,183.59375,6.83413981218577e-05,0.00014784930630514626,0.00044979877675654543,150,500-2000
healthy,random_open_loop,187.5,7.99160110807779e-05,0.00017426848886219185,0.0004763671568057871,150,500-2000
healthy,random_open_loop,191.40625,7.285001737482208e-05,0.000172359143050224,0.00046125280720012363,150,500-2000
healthy,random_open_loop,195.3125,6.97415226709907e-05,0.00020501845903346045,0.00042143813318715293,150,500-2000
healthy,random_open_loop,199.21875,6.0433155371735005e-05,0.00019440309444050078,0.000475923239639985,150,500-2000
healthy,random_open_loop,203.125,6.961257735958906e-05,0.0001965414276772004,0.0005079938974292368,150,500-2000
healthy,random_open_loop,207.03125,7.417943036537624e-05,0.00018024663894162125,0.00046262328076458845,150,500-2000
healthy,random_open_loop,210.9375,7.609275506590416e-05,0.0001723180909810381,0.00045178459829296085,150,500-2000
healthy,random_open_loop,214.84375,6.516909739870135e-05,0.00015949735671081457,0.00042986657055305423,150,500-2000
healthy,random_open_loop,218.75,7.049810965174266e-05,0.00017162956235420134,0.00046867949223104044,150,500-2000
