method,class,channel,band,real_frac,method_frac,delta
random_open_loop,sharp,vib_spindle,100-125,0.057991,0.086255,0.028264
random_open_loop,sharp,AE_table,0-8,0.066627,0.045558,-0.021069
random_open_loop,sharp,AE_table,8-20,0.356623,0.401698,0.045075
random_open_loop,sharp,AE_table,20-40,0.223879,0.250526,0.026648
random_open_loop,sharp,AE_table,40-70,0.139254,0.148164,0.008911
random_open_loop,sharp,AE_table,70-100,0.166297,0.107196,-0.059102
random_open_loop,sharp,AE_table,100-125,0.047321,0.046858,-0.000462
random_open_loop,sharp,AE_spindle,0-8,0.041541,0.039724,-0.001817
random_open_loop,sharp,AE_spindle,8-20,0.373351,0.357974,-0.015378
random_open_loop,sharp,AE_spindle,20-40,0.325461,0.334084,0.008623
random_open_loop,sharp,AE_spindle,40-70,0.131478,0.139818,0.008341
random_open_loop,sharp,AE_spindle,70-100,0.085430,0.087268,0.001839
random_open_loop,sharp,AE_spindle,100-125,0.042739,0.041131,-0.001608
random_open_loop,worn,smcAC,0-8,0.004151,0.005023,0.000873
random_open_loop,worn,smcAC,8-20,0.985060,0.932838,-0.052222
random_open_loop,worn,smcAC,20-40,0.003068,0.013106,0.010038
random_open_loop,worn,smcAC,40-70,0.002552,0.016579,0.014028
random_open_loop,worn,smcAC,70-100,0.002816,0.019052,0.016236
random_open_loop,worn,smcAC,100-125,0.002354,0.013401,0.011047
random_open_loop,worn,smcDC,0-8,0.927060,0.736818,-0.190243
random_open_loop,worn,smcDC,8-20,0.025119,0.118379,0.093260
random_open_loop,worn,smcDC,20-40,0.040522,0.067263,0.026741
random_open_loop,worn,smcDC,40-70,0.006290,0.028262,0.021972
random_open_loop,worn,smcDC,70-100,0.000814,0.027160,0.026346
random_open_loop,worn,smcDC,100-125,0.000195,0.022118,0.021923
random_open_loop,worn,vib_table,0-8,0.052770,0.023319,-0.029451
random_open_loop,worn,vib_table,8-20,0.214616,0.345329,0.130712
random_open_loop,worn,vib_table,20-40,0.287798,0.441239,0.153441
random_open_loop,worn,vib_table,40-70,0.114899,0.091770,-0.023129
random_open_loop,worn,vib_table,70-100,0.317423,0.075212,-0.242211
random_open_loop,worn,vib_table,100-125,0.012494,0.023131,0.010636
random_open_loop,worn,vib_spindle,0-8,0.110530,0.447392,0.336862
random_open_loop,worn,vib_spindle,8-20,0.229694,0.130696,-0.098998
random_open_loop,worn,vib_spindle,20-40,0.225050,0.131546,-0.093504
random_open_loop,worn,vib_spindle,40-70,0.220972,0.113228,-0.107744
random_open_loop,worn,vib_spindle,70-100,0.147118,0.108656,-0.038461
random_open_loop,worn,vib_spindle,100-125,0.066637,0.068483,0.001846
random_open_loop,worn,AE_table,0-8,0.105419,0.102627,-0.002792
random_open_loop,worn,AE_table,8-20,0.194408,0.277219,0.082810
random_open_loop,worn,AE_table,20-40,0.184379,0.238924,0.054545
random_open_loop,worn,AE_table,40-70,0.123423,0.157294,0.033871
random_open_loop,worn,AE_table,70-100,0.354388,0.165780,-0.188609
random_open_loop,worn,AE_table,100-125,0.037983,0.058157,0.020174
random_open_loop,worn,AE_spindle,0-8,0.164121,0.114344,-0.049777
random_open_loop,worn,AE_spindle,8-20,0.209481,0.279823,0.070342
random_open_loop,worn,AE_spindle,20-40,0.213533,0.247007,0.033475
random_open_loop,worn,AE_spindle,40-70,0.117671,0.151357,0.033687
random_open_loop,worn,AE_spindle,70-100,0.260681,0.158739,-0.101942
