baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
phaseA_v2_rule,5,0,450,0.6871,0.6773,0.8333,0.6107,0.5880,"[[300,0,0],[60,189,52],[60,129,172]]"
phaseA_v2_rule,5,1,450,0.7536,0.7466,0.8329,0.6741,0.7327,"[[299,0,1],[59,182,60],[60,57,244]]"
phaseA_v2_rule,5,2,450,0.6632,0.6587,0.8333,0.6172,0.5254,"[[275,0,25],[44,208,49],[41,165,155]]"
phaseA_v2_rule,5,3,450,0.6902,0.6754,0.8876,0.6521,0.4865,"[[300,0,0],[32,238,31],[44,191,126]]"
phaseA_v2_rule,5,4,450,0.7547,0.7438,0.8755,0.6275,0.7282,"[[299,0,1],[33,155,113],[51,38,272]]"
phaseA_v2_rule,5,5,450,0.6788,0.6717,0.7977,0.5381,0.6792,"[[209,0,91],[3,120,178],[12,25,324]]"
phaseA_v2_rule,5,6,450,0.7599,0.7677,0.8970,0.7309,0.6751,"[[257,0,43],[1,235,65],[15,107,239]]"
phaseA_v2_rule,5,7,450,0.7692,0.7446,0.8982,0.5674,0.7683,"[[300,0,0],[29,120,152],[39,2,320]]"
phaseA_v2_rule,5,8,450,0.7443,0.7217,0.8705,0.5503,0.7443,"[[299,0,1],[44,123,134],[44,23,294]]"
phaseA_v2_rule,5,9,450,0.6902,0.6902,0.7917,0.6299,0.6490,"[[247,3,50],[17,160,124],[60,44,257]]"
phaseA_v2_rule,5,10,450,0.6944,0.6835,0.8645,0.6722,0.5140,"[[287,0,13],[33,243,25],[44,179,138]]"
phaseA_v2_rule,5,11,450,0.6944,0.6971,0.9390,0.5134,0.6391,"[[277,14,9],[1,144,156],[12,102,247]]"
phaseA_v2_rule,5,12,450,0.5998,0.6075,0.8270,0.4453,0.5502,"[[227,0,73],[9,120,172],[13,118,230]]"
phaseA_v2_rule,5,13,450,0.6850,0.6882,0.6855,0.7076,0.6716,"[[218,0,82],[35,167,99],[83,4,274]]"
phaseA_v2_rule,5,14,450,0.6331,0.6461,0.8718,0.4745,0.5920,"[[238,45,17],[2,149,150],[6,133,222]]"
phaseA_v2_rule,5,15,450,0.7287,0.7326,0.9233,0.6304,0.6440,"[[283,0,17],[10,191,100],[20,114,227]]"
phaseA_v2_rule,5,16,450,0.6299,0.6342,0.7526,0.4620,0.6880,"[[181,103,16],[0,146,155],[0,82,279]]"
phaseA_v2_rule,5,17,450,0.6518,0.6348,0.7011,0.5357,0.6677,"[[299,0,1],[128,120,53],[126,27,208]]"
phaseA_v2_rule,5,18,450,0.6310,0.6181,0.9246,0.6055,0.3243,"[[282,0,18],[5,241,55],[23,254,84]]"
phaseA_v2_rule,5,19,450,0.7827,0.7712,0.8333,0.6837,0.7967,"[[300,0,0],[60,161,80],[60,9,292]]"
phaseA_v2_rule,10,0,450,0.6975,0.7072,0.8839,0.6449,0.5929,"[[255,0,45],[4,207,90],[18,134,209]]"
phaseA_v2_rule,10,1,450,0.7744,0.7729,0.9164,0.6691,0.7332,"[[285,8,7],[6,181,114],[31,51,279]]"
phaseA_v2_rule,10,2,450,0.7640,0.7722,0.9711,0.6686,0.6768,"[[286,14,0],[0,226,75],[3,135,223]]"
phaseA_v2_rule,10,3,450,0.8056,0.8104,0.9868,0.7188,0.7257,"[[299,0,1],[1,230,70],[6,109,246]]"
phaseA_v2_rule,10,4,450,0.7058,0.7158,0.9349,0.6170,0.5953,"[[273,7,20],[0,203,98],[11,147,203]]"
phaseA_v2_rule,10,5,450,0.7141,0.7250,0.9104,0.6799,0.5848,"[[254,0,46],[1,240,60],[3,165,193]]"
phaseA_v2_rule,10,6,450,0.6985,0.7097,0.8893,0.6779,0.5619,"[[245,0,55],[0,241,60],[6,169,186]]"
phaseA_v2_rule,10,7,450,0.6435,0.6565,0.9510,0.5632,0.4551,"[[272,3,25],[0,205,96],[0,219,142]]"
phaseA_v2_rule,10,8,450,0.6923,0.7016,0.9627,0.6057,0.5363,"[[284,2,14],[0,212,89],[6,185,170]]"
phaseA_v2_rule,10,9,450,0.6871,0.6776,0.8909,0.6299,0.5119,"[[298,2,0],[32,223,46],[39,182,140]]"
phaseA_v2_rule,10,10,450,0.7640,0.7476,0.8406,0.6286,0.7737,"[[298,0,2],[55,143,103],[56,11,294]]"
phaseA_v2_rule,10,11,450,0.7225,0.7227,0.9453,0.6629,0.5599,"[[294,0,6],[6,235,60],[22,173,166]]"
phaseA_v2_rule,10,12,450,0.6902,0.6833,0.8906,0.6593,0.5000,"[[285,0,15],[20,240,41],[35,187,139]]"
phaseA_v2_rule,10,13,450,0.7027,0.6955,0.8441,0.5323,0.7102,"[[241,28,31],[14,136,151],[16,46,299]]"
phaseA_v2_rule,10,14,450,0.6757,0.6629,0.8458,0.6372,0.5058,"[[288,6,6],[50,231,20],[43,187,131]]"
phaseA_v2_rule,10,15,450,0.7713,0.7680,0.9042,0.6520,0.7479,"[[269,0,31],[11,163,127],[15,36,310]]"
phaseA_v2_rule,10,16,450,0.7536,0.7458,0.9116,0.6119,0.7141,"[[299,0,1],[24,160,117],[33,62,266]]"
