class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,random_open_loop,214.84375,6.571646408375986e-05,0.00018845282625854588,0.0005246748152549832,150,500-2000
OR,random_open_loop,218.75,8.02797240928649e-05,0.00022944090837291744,0.0006204478965585652,150,500-2000
IR,real,0.0,4.283878992505654e-05,0.00010345144978103204,0.0002507721384184634,1444,500-2000
IR,real,3.90625,0.00010141332345119677,0.0002024064807792151,0.0004019276081715665,1444,500-2000
IR,real,7.8125,0.00010699606521032885,0.0001857655910857755,0.00034056021053994345,1444,500-2000
IR,real,11.71875,0.00017230332267982373,0.00039382455161861686,0.0009163645186999473,1444,500-2000
IR,real,15.625,0.00023003113674023272,0.0005361742092749243,0.0014036993983583706,1444,500-2000
IR,real,19.53125,0.00013073408963640588,0.0002852202676249748,0.0006044480396722344,1444,500-2000
IR,real,23.4375,9.195681518581823e-05,0.00017437959177301108,0.00032740354380655977,1444,500-2000
IR,real,27.34375,0.00012657973584668416,0.0002670450315406139,0.0007309491800936386,1444,500-2000
IR,real,31.25,0.0001410294635617594,0.0002993747114307327,0.000900677121445151,1444,500-2000
IR,real,35.15625,0.0001073003747142606,0.00020178425095671536,0.00037339151094147965,1444,500-2000
IR,real,39.0625,0.0001106265101384941,0.0002176164579214569,0.00040304790673547026,1444,500-2000
IR,real,42.96875,0.0001530108585390129,0.0003084936994687791,0.0008758070793685311,1444,500-2000
IR,real,46.875,0.00014493722421274932,0.0003166079806827482,0.0008184250715352442,1444,500-2000
IR,real,50.78125,0.0002064164609496453,0.0003134827375816455,0.0005189415077013156,1444,500-2000
IR,real,54.6875,0.00022095368488508048,0.0003829220843415271,0.0007090713452821845,1444,500-2000
IR,real,58.59375,0.00016827184925714193,0.00038614553277095676,0.0011190684279752635,1444,500-2000
IR,real,62.5,0.00012111543434825133,0.00027331989335641115,0.0007047914486889393,1444,500-2000
IR,real,66.40625,9.141351254231348e-05,0.00015844262539175516,0.0003155891977303976,1444,500-2000
IR,real,70.3125,0.00012914716443646878,0.00026971908163077074,0.0007433244234355731,1444,500-2000
IR,real,74.21875,0.00015243614871160744,0.00034277160029279774,0.001167791558012272,1444,500-2000
IR,real,78.125,0.00010842122839860087,0.00022754090432321417,0.000563022315776974,1444,500-2000
IR,real,82.03125,9.254053281839274e-05,0.00016374944209144172,0.00029074376046028816,1444,500-2000
