method,class,channel,band,real_frac,method_frac,delta
random_open_loop,sharp,AE_spindle,70-100,0.085430,0.079441,-0.005989
random_open_loop,sharp,AE_spindle,100-125,0.042739,0.038248,-0.004491
random_open_loop,worn,smcAC,0-8,0.004151,0.005838,0.001688
random_open_loop,worn,smcAC,8-20,0.985060,0.934015,-0.051045
random_open_loop,worn,smcAC,20-40,0.003068,0.012594,0.009527
random_open_loop,worn,smcAC,40-70,0.002552,0.017153,0.014601
random_open_loop,worn,smcAC,70-100,0.002816,0.016984,0.014168
random_open_loop,worn,smcAC,100-125,0.002354,0.013417,0.011063
random_open_loop,worn,smcDC,0-8,0.927060,0.731606,-0.195454
random_open_loop,worn,smcDC,8-20,0.025119,0.118362,0.093243
random_open_loop,worn,smcDC,20-40,0.040522,0.072021,0.031499
random_open_loop,worn,smcDC,40-70,0.006290,0.028109,0.021819
random_open_loop,worn,smcDC,70-100,0.000814,0.027268,0.026454
random_open_loop,worn,smcDC,100-125,0.000195,0.022634,0.022439
random_open_loop,worn,vib_table,0-8,0.052770,0.025803,-0.026966
random_open_loop,worn,vib_table,8-20,0.214616,0.331692,0.117075
random_open_loop,worn,vib_table,20-40,0.287798,0.457263,0.169465
random_open_loop,worn,vib_table,40-70,0.114899,0.087879,-0.027020
random_open_loop,worn,vib_table,70-100,0.317423,0.075396,-0.242027
random_open_loop,worn,vib_table,100-125,0.012494,0.021968,0.009474
random_open_loop,worn,vib_spindle,0-8,0.110530,0.457816,0.347286
random_open_loop,worn,vib_spindle,8-20,0.229694,0.129319,-0.100374
random_open_loop,worn,vib_spindle,20-40,0.225050,0.125387,-0.099663
random_open_loop,worn,vib_spindle,40-70,0.220972,0.111899,-0.109073
random_open_loop,worn,vib_spindle,70-100,0.147118,0.108834,-0.038283
random_open_loop,worn,vib_spindle,100-125,0.066637,0.066744,0.000107
random_open_loop,worn,AE_table,0-8,0.105419,0.116078,0.010659
random_open_loop,worn,AE_table,8-20,0.194408,0.269730,0.075322
random_open_loop,worn,AE_table,20-40,0.184379,0.241544,0.057166
random_open_loop,worn,AE_table,40-70,0.123423,0.160474,0.037052
random_open_loop,worn,AE_table,70-100,0.354388,0.150979,-0.203409
random_open_loop,worn,AE_table,100-125,0.037983,0.061194,0.023211
random_open_loop,worn,AE_spindle,0-8,0.164121,0.120864,-0.043257
random_open_loop,worn,AE_spindle,8-20,0.209481,0.269902,0.060421
random_open_loop,worn,AE_spindle,20-40,0.213533,0.252778,0.039246
random_open_loop,worn,AE_spindle,40-70,0.117671,0.140678,0.023008
random_open_loop,worn,AE_spindle,70-100,0.260681,0.162771,-0.097910
random_open_loop,worn,AE_spindle,100-125,0.034514,0.053007,0.018493
random_open_loop,severe,smcAC,0-8,0.003696,0.006622,0.002925
random_open_loop,severe,smcAC,8-20,0.986361,0.936178,-0.050183
random_open_loop,severe,smcAC,20-40,0.002536,0.011095,0.008559
random_open_loop,severe,smcAC,40-70,0.002280,0.016781,0.014500
random_open_loop,severe,smcAC,70-100,0.002821,0.017779,0.014957
random_open_loop,severe,smcAC,100-125,0.002305,0.011547,0.009241
random_open_loop,severe,smcDC,0-8,0.909220,0.767410,-0.141811
random_open_loop,severe,smcDC,8-20,0.026629,0.117265,0.090636
random_open_loop,severe,smcDC,20-40,0.063954,0.048608,-0.015345
random_open_loop,severe,smcDC,40-70,0.000137,0.025312,0.025175
random_open_loop,severe,smcDC,70-100,0.000038,0.022936,0.022897
random_open_loop,severe,smcDC,100-125,0.000022,0.018470,0.018448
random_open_loop,severe,vib_table,0-8,0.047298,0.029130,-0.018168
random_open_loop,severe,vib_table,8-20,0.309386,0.291136,-0.018250
random_open_loop,severe,vib_table,20-40,0.216909,0.373601,0.156692
random_open_loop,severe,vib_table,40-70,0.125918,0.144554,0.018636
random_open_loop,severe,vib_table,70-100,0.287301,0.132209,-0.155091
random_open_loop,severe,vib_table,100-125,0.013189,0.029369,0.016181
random_open_loop,severe,vib_spindle,0-8,0.210732,0.484091,0.273360
random_open_loop,severe,vib_spindle,8-20,0.200274,0.124765,-0.075509
random_open_loop,severe,vib_spindle,20-40,0.204689,0.120547,-0.084142
random_open_loop,severe,vib_spindle,40-70,0.178395,0.119072,-0.059323
random_open_loop,severe,vib_spindle,70-100,0.134462,0.075239,-0.059223
random_open_loop,severe,vib_spindle,100-125,0.071450,0.076286,0.004837
random_open_loop,severe,AE_table,0-8,0.124164,0.075590,-0.048574
random_open_loop,severe,AE_table,8-20,0.171550,0.265352,0.093802
random_open_loop,severe,AE_table,20-40,0.145076,0.205672,0.060595
random_open_loop,severe,AE_table,40-70,0.101338,0.152453,0.051115
random_open_loop,severe,AE_table,70-100,0.426352,0.248719,-0.177633
random_open_loop,severe,AE_table,100-125,0.031521,0.052214,0.020694
random_open_loop,severe,AE_spindle,0-8,0.234738,0.113495,-0.121243
random_open_loop,severe,AE_spindle,8-20,0.150976,0.196518,0.045541
random_open_loop,severe,AE_spindle,20-40,0.150509,0.217147,0.066638
random_open_loop,severe,AE_spindle,40-70,0.099786,0.152457,0.052671
random_open_loop,severe,AE_spindle,70-100,0.334079,0.266677,-0.067402
random_open_loop,severe,AE_spindle,100-125,0.029911,0.053706,0.023795
noise_aug,sharp,smcAC,0-8,0.010713,0.007300,-0.003413
